,gen,ext_gene,ens_gene,qval,b
26043,egl-9;vhl-1,hsp-60,WBGene00002025,0.05023529486208099,2.47430475030742
1717,egl-9;vhl-1,icl-1,WBGene00001564,0.016401868555419,-0.9404952256332929
22367,egl-9;vhl-1,immt-1,WBGene00020511,0.00254088191277497,-0.302233050888628
4286,egl-9;vhl-1,let-754,WBGene00002879,0.0729913066110737,-0.545432506944934
17976,egl-9;vhl-1,mai-1,WBGene00003124,3.33254756618134e-11,1.06448495714852
7420,egl-9;vhl-1,mce-1,WBGene00008415,0.00132582241655951,0.5117841355411129
13464,egl-9;vhl-1,mdh-1,WBGene00018491,2.35571669059641e-06,0.41968499531526393
9897,egl-9;vhl-1,mdh-2,WBGene00003162,0.000126328986660665,-0.38746647291608505
31605,egl-9;vhl-1,mmcm-1,WBGene00014202,3.43504205600226e-11,0.5348447083982311
15148,egl-9;vhl-1,mrpl-2,WBGene00018932,0.0390943097297458,-0.30960235099993605
27987,egl-9;vhl-1,mrpl-37,WBGene00013004,0.007361557163234079,-0.378217399017296
342,egl-9;vhl-1,mrpl-47,WBGene00015092,0.0488173974658863,-0.41042059281435
343,egl-9;vhl-1,mrpl-47,WBGene00015092,0.0488173974658863,-0.41042059281435
22813,egl-9;vhl-1,mrpl-50,WBGene00011883,0.0188975710833291,-0.30609392022159804
184,egl-9;vhl-1,mrpl-9,WBGene00015025,0.018270116889218996,-0.31739651951347997
20571,egl-9;vhl-1,mrps-14,WBGene00011334,0.0250132790442468,-0.302662986970699
1632,egl-9;vhl-1,mrps-17,WBGene00015487,0.0257384566892761,-0.533133657031437
3991,egl-9;vhl-1,mrps-18C,WBGene00016142,0.0820982702348969,-0.222042906992839
28967,egl-9;vhl-1,mrps-25,WBGene00021920,0.045640173922641,-0.454150942210015
20114,egl-9;vhl-1,mrps-6,WBGene00020037,0.0951168021541613,-0.3426961199545269
18969,egl-9;vhl-1,mtss-1,WBGene00019800,0.0249090865322205,-0.347183166456497
25066,egl-9;vhl-1,nduf-7,WBGene00012376,0.00920580968518446,-0.298449953994427
18957,egl-9;vhl-1,nduo-1,WBGene00010959,2.35571669059641e-06,-0.6563916153939879
18959,egl-9;vhl-1,nduo-2,WBGene00010961,1.6269782617337197e-05,-0.657453526134672
18962,egl-9;vhl-1,nduo-4,WBGene00010963,0.00770138050452182,-0.316084887850461
15832,egl-9;vhl-1,npp-9,WBGene00003795,0.0557895610729807,0.5420797426624601
19894,egl-9;vhl-1,nth-1,WBGene00011201,0.0839929489357471,0.914237890660791
19897,egl-9;vhl-1,nth-1,WBGene00011201,0.0839929489357471,0.914237890660791
2459,egl-9;vhl-1,nuo-1,WBGene00003831,0.0505338162748649,-0.20767876417738798
21943,egl-9;vhl-1,nuo-2,WBGene00020417,0.0623445535164331,0.306582366681367
24107,egl-9;vhl-1,nuo-6,WBGene00012166,0.0919861959019862,-0.22469080957792104
935,egl-9;vhl-1,oxa-1,WBGene00007215,0.00017565649239114899,-0.417777425289476
10829,egl-9;vhl-1,pcca-1,WBGene00017864,7.7838649900285e-34,0.9447805494006372
21226,egl-9;vhl-1,pdha-1,WBGene00011510,0.0244230446391862,-4.33028114800368
1430,egl-9;vhl-1,pdhb-1,WBGene00015413,1.2603777200859e-07,-0.493605239778386
19531,egl-9;vhl-1,pgam-5,WBGene00019941,0.0869152281505754,-0.19765243912420802
26514,egl-9;vhl-1,phb-1,WBGene00004014,0.00064500203031255,-0.32216990144882596
23423,egl-9;vhl-1,phb-2,WBGene00004015,0.00888468651679961,-0.252743598193417
25980,egl-9;vhl-1,pif-1,WBGene00004028,0.000143080528749584,0.40548177299256
1020,egl-9;vhl-1,sco-1,WBGene00015297,0.0279446521153697,-0.312798682388651
1348,egl-9;vhl-1,sdha-1,WBGene00015391,1.5353759725765e-08,0.470588891180689
13591,egl-9;vhl-1,suca-1,WBGene00009812,0.00121812120856383,-0.298490268383518
6562,egl-9;vhl-1,sucg-1,WBGene00016844,0.00011953399285950301,-0.362449724022181
1726,egl-9;vhl-1,sucl-1,WBGene00007350,3.7076174464467404e-05,-0.368927456326114
28259,egl-9;vhl-1,taco-1,WBGene00021757,0.000826772105979962,-0.506444816075303
9303,egl-9;vhl-1,timm-23,WBGene00008857,0.0114482198767216,-0.313472707016391
7543,egl-9;vhl-1,tin-13,WBGene00006574,0.0273092236789868,-0.53004862449168
3499,egl-9;vhl-1,tomm-40,WBGene00007686,2.19570765559576e-05,-0.40117344407166294
15238,egl-9;vhl-1,ucr-1,WBGene00018963,0.04089704529192299,-0.226713384343862
29072,egl-9;vhl-1,wah-1,WBGene00006937,0.0091774055715275,-0.30520415887336605
323,egl-9,B0250.5,WBGene00007122,0.000519698211681242,-0.36989332092328897
352,egl-9,B0272.3,WBGene00007129,0.0295134092774488,-0.295375625290976
1581,egl-9,C05C10.3,WBGene00007330,2.0980856494174103e-05,-0.534048857370026
3931,egl-9,C25H3.9,WBGene00016118,0.0386943933816211,-0.23795010937775601
7881,egl-9,F01G4.6,WBGene00008505,0.0498219643265725,-0.25016206556487
7893,egl-9,F02A9.4,WBGene00008514,0.000807503665084412,-0.363220440644457
7894,egl-9,F02A9.4,WBGene00008514,0.00869406932142435,-0.277435059353191
8454,egl-9,F09F7.4,WBGene00017301,0.00412020762666112,-2.7877166830584
8453,egl-9,F09F7.4,WBGene00017301,0.0457984410579238,-2.1250953143228997
8451,egl-9,F09F7.4,WBGene00017301,0.00412020762666112,-2.7877166830584
9850,egl-9,F20D6.11,WBGene00017640,1.55705650658286e-13,-1.16209000855701
13041,egl-9,F43H9.4,WBGene00018400,0.0002666712488657,0.6067271856144499
13344,egl-9,F45H10.3,WBGene00009740,0.0050234903862431705,-0.366713153251077
14659,egl-9,F54D5.12,WBGene00010055,7.194633639114519e-16,-0.842379041980321
15137,egl-9,F56B3.11,WBGene00018934,0.0217399040945317,-0.35015335466110403
15709,egl-9,F58F12.1,WBGene00019061,0.0047649032155130605,-0.27049110931707504
17930,egl-9,K09H11.1,WBGene00019599,0.0111076468930816,0.35896198593570294
18254,egl-9,K11H3.3,WBGene00010780,5.49729458937295e-05,-0.41344604395212703
19512,egl-9,R07E5.13,WBGene00011119,1.58654212686319e-07,-0.831671685289627
20097,egl-9,R12C12.1,WBGene00020022,0.0552858498359091,-0.5829573889355749
20710,egl-9,T02G5.7,WBGene00020166,1.58746417169256e-08,-0.5310842681441861
23532,egl-9,T25G3.4,WBGene00012031,0.0448476200507733,-0.21471841676005
26661,egl-9,Y38F1A.6,WBGene00012608,0.009728861011892359,-0.6792049799478491
26660,egl-9,Y38F1A.6,WBGene00012608,6.77119925509612e-08,-0.93933630891227
26920,egl-9,Y39E4A.3,WBGene00012713,3.12612145073781e-05,-0.46236396457145296
27341,egl-9,Y43E12A.2,WBGene00012794,0.0745141945364586,0.667124906059477
27900,egl-9,Y48A6B.3,WBGene00012964,0.00514846229079134,-0.33531391956465
27907,egl-9,Y48A6B.9,WBGene00012970,0.0924897758493667,0.489713476729698
28617,egl-9,Y53G8AL.2,WBGene00021800,0.005625586426247771,-0.273176942511871
28774,egl-9,Y54F10AM.5,WBGene00021849,0.0806840213586232,-0.250709819278287
31840,egl-9,ZK1320.9,WBGene00014258,5.16464699513938e-13,-0.623121884024669
32475,egl-9,ZK669.4,WBGene00014054,1.61980701242649e-07,-0.453729178324825
6992,egl-9,acdh-1,WBGene00016943,3.7755430364724403e-10,-1.1388032713674
8256,egl-9,acl-6,WBGene00017261,2.3723000393770105e-07,0.6627987479368239
11799,egl-9,asb-1,WBGene00000206,0.0319264310627404,-0.24689822926132102
16718,egl-9,bcat-1,WBGene00001149,0.00728741015880938,-0.45146783375905
15838,egl-9,cri-3,WBGene00010303,0.0457984410579238,-0.22430837754765998
18963,egl-9,ctc-1,WBGene00010964,0.026405692287321,-0.518177793975781
22791,egl-9,cts-1,WBGene00000833,0.0115131969951564,-0.29965125299461304
6928,egl-9,cyc-1,WBGene00000869,0.00453616503336674,-0.277799288759159
2803,egl-9,dap-3,WBGene00000933,0.0621171438141295,-0.24670301614420198
10238,egl-9,dlat-1,WBGene00009082,0.0027953032950342,-0.28254405917093894
31361,egl-9,ears-1,WBGene00001337,0.0339283832721173,3.8439425360337003
21205,egl-9,ech-6,WBGene00001155,0.0120747950830601,-0.7284336288581601
16269,egl-9,fum-1,WBGene00001503,0.000796098029943295,0.390332931411004
16268,egl-9,fum-1,WBGene00001503,0.0067520190548008,0.39902585904408394
5838,egl-9,got-2.1,WBGene00016652,0.07206050399822099,-0.21374253809842603
21251,egl-9,hpo-19,WBGene00020268,0.0295134092774488,0.5940277957296961
26043,egl-9,hsp-60,WBGene00002025,0.0155155464298287,2.92703707047968
13019,egl-9,idha-1,WBGene00009664,0.0284479507852901,-0.22625329996392002
22367,egl-9,immt-1,WBGene00020511,0.06068641177289599,-0.21918523883030702
17976,egl-9,mai-1,WBGene00003124,2.3140379681089e-06,0.7992300345084609
7420,egl-9,mce-1,WBGene00008415,0.00930535373204313,0.4406348636323161
13464,egl-9,mdh-1,WBGene00018491,0.000120046747804725,0.35597787220497495
9897,egl-9,mdh-2,WBGene00003162,6.46286560118803e-05,-0.400368967048128
31605,egl-9,mmcm-1,WBGene00014202,1.5401489213481198e-08,0.46699408138477294
343,egl-9,mrpl-47,WBGene00015092,0.0654436694149968,-0.402752136782088
342,egl-9,mrpl-47,WBGene00015092,0.0654436694149968,-0.402752136782088
184,egl-9,mrpl-9,WBGene00015025,0.00643513602441159,-0.35597452674865904
4931,egl-9,mrps-26,WBGene00016412,0.0328438412755043,-0.287983985448227
18969,egl-9,mtss-1,WBGene00019800,0.00406868363555828,-0.41958981152314795
3010,egl-9,nnt-1,WBGene00003778,0.0375327684864714,1.3891666613103602
2459,egl-9,nuo-1,WBGene00003831,0.0652307008016601,-0.20499130079484199
21943,egl-9,nuo-2,WBGene00020417,0.0398275594061645,0.33624220430114893
24107,egl-9,nuo-6,WBGene00012166,0.0356382545936514,-0.26871158377322
935,egl-9,oxa-1,WBGene00007215,0.0805503861260478,-0.24423142409104298
10829,egl-9,pcca-1,WBGene00017864,1.56603962252649e-27,0.8537835617856451
1430,egl-9,pdhb-1,WBGene00015413,4.1644146165669704e-08,-0.509019896636606
26514,egl-9,phb-1,WBGene00004014,0.0012354895322130401,-0.31056189207984997
23423,egl-9,phb-2,WBGene00004015,0.0493855162376544,-0.21001689151175498
25980,egl-9,pif-1,WBGene00004028,0.00434948191637648,0.32725035276009695
26691,egl-9,ppgn-1,WBGene00021425,0.0838852739920757,-0.231854254355787
551,egl-9,psd-1,WBGene00015159,0.0301942843412942,-0.5316068532730139
1020,egl-9,sco-1,WBGene00015297,0.0286759237581125,-0.317523250524642
1348,egl-9,sdha-1,WBGene00015391,1.31564731301797e-05,0.37922640191741996
13591,egl-9,suca-1,WBGene00009812,3.12612788458442e-05,-0.36393705590280495
6562,egl-9,sucg-1,WBGene00016844,0.00728741015880938,-0.277506547661943
1726,egl-9,sucl-1,WBGene00007350,4.11561587720286e-06,-0.4033692095468371
9303,egl-9,timm-23,WBGene00008857,0.0452023520844288,-0.270326569257256
3499,egl-9,tomm-40,WBGene00007686,0.000278091992537762,-0.355474163045984
15238,egl-9,ucr-1,WBGene00018963,0.0709600550346903,-0.21386542413527998
29072,egl-9,wah-1,WBGene00006937,0.0133511947262332,-0.297443172651469
323,rhy-1,B0250.5,WBGene00007122,0.0008646676094210401,-0.35809848434066704
352,rhy-1,B0272.3,WBGene00007129,5.77573551969689e-05,-0.46618624653084495
1581,rhy-1,C05C10.3,WBGene00007330,0.0064484712845762,-0.37837894120505794
3931,rhy-1,C25H3.9,WBGene00016118,0.000570972565250167,-0.342667423342532
4867,rhy-1,C34C12.8,WBGene00007927,0.009914343368608679,-0.331657457347555
7419,rhy-1,D2030.4,WBGene00008414,0.0012486095871593,-0.402111716796098
7638,rhy-1,E02H1.2,WBGene00008456,5.93304439392276e-05,-0.531520797675074
7718,rhy-1,E04A4.5,WBGene00017119,7.63929369710557e-05,-0.380764353286392
7838,rhy-1,F01F1.2,WBGene00017159,0.0556386820687907,-0.326274160657151
7881,rhy-1,F01G4.6,WBGene00008505,0.00455491866061362,-0.320837112307599
7894,rhy-1,F02A9.4,WBGene00008514,0.0011923186409839599,-0.322765719746109
7893,rhy-1,F02A9.4,WBGene00008514,0.00547452200517359,-0.314133204235981
9850,rhy-1,F20D6.11,WBGene00017640,0.00256570729226124,-0.5547819877867131
11725,rhy-1,F35D11.5,WBGene00018046,0.0926111068041273,-0.473520433642091
13344,rhy-1,F45H10.3,WBGene00009740,0.00072685891561771,-0.420537001097584
14424,rhy-1,F53F4.10,WBGene00009992,0.0109828420622834,-0.25732928102929603
14515,rhy-1,F54A3.5,WBGene00018784,0.0215315280713659,-0.467668222277997
14659,rhy-1,F54D5.12,WBGene00010055,1.2401230437001202e-08,-0.626778865563208
15137,rhy-1,F56B3.11,WBGene00018934,0.00881486265609947,-0.38081267364959204
15709,rhy-1,F58F12.1,WBGene00019061,0.000138439465596288,-0.34024854807909305
15941,rhy-1,F59C6.5,WBGene00010326,0.011834260931908001,-0.24579039031622196
18254,rhy-1,K11H3.3,WBGene00010780,0.00256095456794584,-0.32951975459984495
19203,rhy-1,R04F11.2,WBGene00011015,2.42611024016335e-05,-0.41099359560056103
19512,rhy-1,R07E5.13,WBGene00011119,4.33124866721482e-09,-0.927151483713569
20097,rhy-1,R12C12.1,WBGene00020022,0.0199682601540026,-0.65526062941624
20396,rhy-1,R53.4,WBGene00011273,0.000594468806602925,-0.31721842100902803
20710,rhy-1,T02G5.7,WBGene00020166,1.98280282507321e-06,-0.4646667880153689
20733,rhy-1,T02H6.11,WBGene00020181,0.0610195989259039,-0.22125488356733602
21774,rhy-1,T09B4.8,WBGene00020382,0.0962866859559294,-0.26309380600336896
22381,rhy-1,T15B12.1,WBGene00020530,0.0847330323659124,0.45639781074596597
22382,rhy-1,T15B12.1,WBGene00020530,0.0642625118513365,1.14515653238501
22806,rhy-1,T20H4.5,WBGene00020636,0.0445826860664438,-0.261249051148877
23829,rhy-1,T27E9.2,WBGene00012094,9.77919927261572e-05,-0.5790737402124361
24541,rhy-1,W04C9.2,WBGene00021024,0.0745587127540394,-0.46269352151965
24998,rhy-1,W09C5.8,WBGene00012354,0.0035404331857415397,-0.27503512776671196
26033,rhy-1,Y22D7AL.10,WBGene00021248,5.43768010827127e-07,-0.55858561477224
26660,rhy-1,Y38F1A.6,WBGene00012608,0.0036810044066710296,-0.573423874113511
26920,rhy-1,Y39E4A.3,WBGene00012713,0.0102811429711272,-0.319020259680588
27341,rhy-1,Y43E12A.2,WBGene00012794,0.0137074632960572,0.820001208058931
27900,rhy-1,Y48A6B.3,WBGene00012964,0.00017768710768951,-0.418654618099906
27907,rhy-1,Y48A6B.9,WBGene00012970,0.010857703371029,0.639839345162514
28617,rhy-1,Y53G8AL.2,WBGene00021800,0.00010938702627705,-0.35308298054613896
28774,rhy-1,Y54F10AM.5,WBGene00021849,0.000476502071914421,-0.40764308524058507
28918,rhy-1,Y54G9A.7,WBGene00013210,0.0292762117320117,-0.336399779459166
30301,rhy-1,Y71H2AM.5,WBGene00022170,4.5976822963351794e-07,-0.45251525311951796
31840,rhy-1,ZK1320.9,WBGene00014258,8.962106425301809e-09,-0.5164729825832051
32066,rhy-1,ZK370.8,WBGene00022722,0.0525264216123102,-0.22056932109023
32475,rhy-1,ZK669.4,WBGene00014054,1.1055669292712401e-06,-0.431764389137979
14271,rhy-1,acaa-2,WBGene00009952,0.0663513683626298,-0.26256592389066197
6992,rhy-1,acdh-1,WBGene00016943,0.0395123420815832,-0.476947735157768
17233,rhy-1,acdh-3,WBGene00019433,0.00181440201875456,-0.39301149507833705
10856,rhy-1,acdh-9,WBGene00017874,0.0383635308239631,-0.313638083378399
8256,rhy-1,acl-6,WBGene00017261,1.16378575785767e-06,0.6365743693327459
23794,rhy-1,ant-1.1,WBGene00006439,0.0753847029425777,4.14656253263695
11799,rhy-1,asb-1,WBGene00000206,0.00311636175438561,-0.307190029003318
17336,rhy-1,asg-1,WBGene00000209,0.0149617712172114,-0.335345976963642
6745,rhy-1,asg-2,WBGene00000210,0.0198006773589085,-0.35979994127239
21236,rhy-1,atp-4,WBGene00020275,0.0976226278196039,-0.28710925846481605
1946,rhy-1,atp-5,WBGene00007385,0.008314538307875109,-0.26913611072501603
26397,rhy-1,cco-2,WBGene00012553,3.46331021876464e-06,-0.40417458663885897
32444,rhy-1,coq-5,WBGene00000765,0.0176538807110373,-0.328224399217245
15838,rhy-1,cri-3,WBGene00010303,0.0009108246174950891,-0.320424183967232
22791,rhy-1,cts-1,WBGene00000833,0.00117228365144176,-0.358201746107865
6928,rhy-1,cyc-1,WBGene00000869,0.00024324442414676802,-0.33727331245137393
7722,rhy-1,cyc-2.1,WBGene00017121,0.0741385016715311,-0.527204289885421
28109,rhy-1,cyn-1,WBGene00000877,0.0026232392244285602,-0.339180720973845
2803,rhy-1,dap-3,WBGene00000933,0.0286152669534228,-0.270680518125603
10238,rhy-1,dlat-1,WBGene00009082,0.00113568967492521,-0.299814452718056
18349,rhy-1,dld-1,WBGene00010794,0.008058193649510359,-0.27023077531728396
21205,rhy-1,ech-6,WBGene00001155,0.0698694447318493,-0.575508504088104
16268,rhy-1,fum-1,WBGene00001503,0.000730533704105014,0.46925229084047704
16269,rhy-1,fum-1,WBGene00001503,0.00246218801954604,0.35939375614966707
17805,rhy-1,gas-1,WBGene00001520,0.0230395494202502,-0.236471951184907
5838,rhy-1,got-2.1,WBGene00016652,0.00795482909809597,-0.276062328067134
5303,rhy-1,hsp-6,WBGene00002010,0.0281849318775111,-0.228001622216105
13019,rhy-1,idha-1,WBGene00009664,0.0200135298037974,-0.23254548038666398
11806,rhy-1,idhg-1,WBGene00009440,0.0697237222715948,-0.25362831267187197
22367,rhy-1,immt-1,WBGene00020511,0.00510687727917775,-0.286306389963354
12890,rhy-1,isp-1,WBGene00002162,0.000645274832960379,-0.314726459106038
17976,rhy-1,mai-1,WBGene00003124,0.0038070672154516295,0.543162235194569
856,rhy-1,mai-2,WBGene00015248,1.7236964790043602e-10,-0.651028050934321
9897,rhy-1,mdh-2,WBGene00003162,2.14461515511408e-06,-0.46470772555859996
676,rhy-1,misc-1,WBGene00015186,0.0369830201945858,-0.602846534366861
31605,rhy-1,mmcm-1,WBGene00014202,0.00881486265609947,0.253727879496025
16838,rhy-1,moma-1,WBGene00019333,0.0554201261915924,-0.24039590511976303
11551,rhy-1,mrpl-1,WBGene00017997,0.0650120053815963,-0.23356593784213603
16655,rhy-1,mrpl-10,WBGene00010458,0.0849918910493292,-0.28173608901231895
436,rhy-1,mrpl-11,WBGene00015133,0.0118945487106069,-0.39658733709776295
20860,rhy-1,mrpl-16,WBGene00011412,5.8453761914920706e-05,-0.8911462909790758
28695,rhy-1,mrpl-17,WBGene00021829,0.0509568697788578,-0.37686805169643395
25753,rhy-1,mrpl-19,WBGene00022470,0.0284470332355246,-0.35173227863868
15148,rhy-1,mrpl-2,WBGene00018932,0.000386191071534287,-0.46747437817622794
15848,rhy-1,mrpl-24,WBGene00019076,0.0966621782579344,-0.26619488128936
24536,rhy-1,mrpl-30,WBGene00021021,0.0102692095296111,-0.398749583690015
27987,rhy-1,mrpl-37,WBGene00013004,0.0380350455129855,-0.315429603311034
14582,rhy-1,mrpl-40,WBGene00018793,0.0778852372371647,-0.354238926851293
342,rhy-1,mrpl-47,WBGene00015092,0.0398408491434812,-0.42627452325596205
343,rhy-1,mrpl-47,WBGene00015092,0.0398408491434812,-0.42627452325596205
22813,rhy-1,mrpl-50,WBGene00011883,0.0452226462645392,-0.274470821390346
184,rhy-1,mrpl-9,WBGene00015025,5.70319891789516e-05,-0.48082464849427603
1632,rhy-1,mrps-17,WBGene00015487,0.023376927426494998,-0.5405342010637261
2801,rhy-1,mrps-22,WBGene00007564,0.0369830201945858,-0.252424725836377
28967,rhy-1,mrps-25,WBGene00021920,0.021698240213038997,-0.504229368272658
4931,rhy-1,mrps-26,WBGene00016412,0.0118194412902109,-0.31932753137653
18946,rhy-1,mrps-34,WBGene00010905,0.0785019900239588,-0.332343352276909
29269,rhy-1,mrps-7,WBGene00013324,0.00668811868572851,-0.5033409009796921
12999,rhy-1,mtch-1,WBGene00018395,0.08457160910425099,-0.20083968023816298
18969,rhy-1,mtss-1,WBGene00019800,0.000777426028712313,-0.47057608403762696
25066,rhy-1,nduf-7,WBGene00012376,0.000378964145494218,-0.38019998740356103
18957,rhy-1,nduo-1,WBGene00010959,0.0406782632894939,-0.34774656296286
18962,rhy-1,nduo-4,WBGene00010963,0.00046726882874032405,0.391212739760938
15832,rhy-1,npp-9,WBGene00003795,0.0346146274366377,0.586159163418557
15835,rhy-1,npp-9,WBGene00003795,0.0715325815538064,0.6816926925721141
2459,rhy-1,nuo-1,WBGene00003831,0.00143957079651445,-0.29865205803861
21944,rhy-1,nuo-2,WBGene00020417,0.0144526905390307,-0.41318341276230397
17126,rhy-1,nuo-4,WBGene00019401,0.0165836570421241,-0.24167984385149102
24107,rhy-1,nuo-6,WBGene00012166,0.0019225113753204399,-0.35149526932800396
935,rhy-1,oxa-1,WBGene00007215,0.0014369517229884802,-0.368142648076448
10829,rhy-1,pcca-1,WBGene00017864,3.07781015290523e-08,0.472278597832942
19958,rhy-1,pck-2,WBGene00011232,0.00080039940881241,-0.842651405327539
1430,rhy-1,pdhb-1,WBGene00015413,2.01407430607948e-08,-0.525260960577011
19531,rhy-1,pgam-5,WBGene00019941,0.0036262127563581,-0.29183521484113
26514,rhy-1,phb-1,WBGene00004014,7.93879241470088e-07,-0.4376431398871
23423,rhy-1,phb-2,WBGene00004015,0.000177214271186073,-0.334793731907782
25980,rhy-1,pif-1,WBGene00004028,0.00010628340744372299,0.41470811781824296
26691,rhy-1,ppgn-1,WBGene00021425,0.0110527954825297,-0.297323762898473
1020,rhy-1,sco-1,WBGene00015297,0.000523621228873856,-0.44239244219230195
1348,rhy-1,sdha-1,WBGene00015391,0.0702981217672512,0.197734999783899
2984,rhy-1,sod-1,WBGene00004930,0.0232541583671269,-0.33909843921702004
13591,rhy-1,suca-1,WBGene00009812,0.000528899983922208,-0.31619444857155105
6562,rhy-1,sucg-1,WBGene00016844,9.27797009017106e-06,-0.410896313810929
1726,rhy-1,sucl-1,WBGene00007350,6.31740359809673e-05,-0.362975422579962
28259,rhy-1,taco-1,WBGene00021757,0.00777989657346162,-0.42697101449804203
9303,rhy-1,timm-23,WBGene00008857,0.0009704366719388481,-0.3835651369487029
7543,rhy-1,tin-13,WBGene00006574,0.00324269048363335,-0.656300089213158
21775,rhy-1,tin-44,WBGene00020383,0.0116311709532898,-0.279218964939672
25088,rhy-1,tomm-22,WBGene00021133,0.00487024496405563,-0.605876208900727
3499,rhy-1,tomm-40,WBGene00007686,0.000183089075573994,-0.364871862706476
28689,rhy-1,txl-1,WBGene00021826,0.0014045909597260801,-0.33665524043538303
15238,rhy-1,ucr-1,WBGene00018963,0.00405159499091763,-0.29190465795694
19296,rhy-1,vdac-1,WBGene00019900,0.0178039677246463,-0.268924698379885
29072,rhy-1,wah-1,WBGene00006937,0.0557393626262849,-0.24612987454823398
